BOOK_ID,BOOK_NAME,AUTHOR,PRICE
FLB_211,MODERN MACHINING PROCESSES,"PC PANDEY, H.S.SHAN",392
FLB_212,COMPUTER GRAPHICS,"ZHIGANG XIANG, ROY A PLASTOCK",392
FLB_213,DESIGN OF MACHINE ELEMENTS (5),VB BHANDARI,805
FLB_214,DATABASE SYSTEM CONCEPTS,SUDARSHAN,916
FLB_215,INTRODUCTION TO MICROMACHINING 2E,EDITOR VK JAIN,605
FLB_216,THE 8051 MICROCONTROLLER AND EMBEDDED SYSTEMS USING ASSEMBLY AND C,MUHAMMAD ALI MAZIDI,390
FLB_217,THEORY OF MACHINES,SS RATTAN,
FLB_218,ENVIRONTIENTAL ENGINEERING (VOL 1) - WATER SUPPLY ENGINEERING,SANTHOSH KUMAR GARG.,916
FLB_219,MECHANICS OF STRUCTURES VOL II,"S.B. JUNNARKAR, DR. H.J. SHAH",325
FLB_220,STRUCTURAL ANALYSIS 3RD EDITION,DEVDAS MENON,1261
FLB_221,"IRRIGATION, WATER POWER AND WATER-RESOURCES ENGINEERING",DR. KR. ARORA,599
FLB_222,ENVIRONMENTAL ENGINEERING (VOI-II) SEVAGE DISPOSAL AND AIR POLLUTION ENGINEERING,SANTOSH KUMAR GARG,634
FLB_223,IRRIGATION ENGINEERING AND HYDRAULIC STRUCTURES (WATER RESOURCES ENGINEERING),SANTOSH KUMAR GARG,761
FLB_224,THE 8051 MICROCONTROLLER AND EMBEDDED SYSTEMS,MUHAMMAD ALI MAZIDI,390
FLB_225,ELECTRONIC COMPUTATION SYSTEMS,GEORGE KENNDY,
FLB_226,MECHANICS OF STRUCTURES VOL I,"S.B. JUNNARKAR, DR. H.J. SHAH",320
FLB_227,STIBERSCHATZ'S OPERATING SYSTEMS CONCEPTS,SILBERSCHATZS,664
FLB_228,SOIL MECHANICS AND FOUNDATIONS,DR.B.C PUNMIA,590
FLB_229,INTRODUCTION TO SOLID STATE PHYSICS,CHARLES KITTEL - WILEY PUBLICATIONS,834
FLB_230,XYLEM NEET PHYSICS 35 YEARS (2020–1988),XYLEM,
FLB_231,PHYSICS TEXTBOOK FOR CLASS XII PART I,NCERT,
FLB_232,PLUS ONE PHYSICS CHAPTERWISE ANALYSIS OF PREVIOUS HSE QUESTIONS AND ANSWERS,NEW JYOTHI,
FLB_233,PHYSICS PART-II TEXTBOOK FOR CLASS XI,NCERT,
FLB_234,OBJECTIVE NCERT AT YOUR FINGERTIPS PHYSICS CLASS XI–XII,MTG LEARNING MEDIA,
FLB_235,GOLDEN PHYSICS CLASS XII,GAMI PUBLICATIONS,
FLB_236,PHYSICS PART-I TEXTBOOK FOR CLASS XI,NCERT,
FLB_237,FUNDAMENTALS OF PHYSICS CLASS XII VOLUME 2,VAS PUBLICATIONS,
FLB_238,FUNDAMENTALS OF PHYSICS CLASS XII VOLUME 1,VAS PUBLICATIONS,
FLB_239,NEW SIMPLIFIED PHYSICS REFERENCE BOOK FOR CLASS XII VOLUME I,DHANPAT RAI & CO.,
FLB_240,OBJECTIVE PHYSICS VOLUME 01,ARIHANT,
FLB_241,OBJECTIVE PHYSICS VOLUME 02,ARIHANT,
FLB_242,SCIENCE TEXTBOOK FOR CLASS X,NCERT,
FLB_243,NEET PHYSICS FOR EVERYONE (INCLUDES NEET 2020 SOLVED PAPER) CLASS 12,"C.P. SINGH, CENGAGE",
FLB_244,NEET PHYSICS FOR EVERYONE (INCLUDES NEET 2020 SOLVED PAPER) CLASS 11,"C.P. SINGH, CENGAGE",
FLB_245,ERRORS IN PHYSICS VOLUME 2,D.C. PANDEY / ERRORLESS,
FLB_246,ERRORS IN PHYSICS VOLUME 1,ERRORLESS,
FLB_247,"NEET AT YOUR FINGERTIPS, PHYSICS, CLASS XI + XII",MTG LEARNING MEDIA (P) LTD.,
FLB_248,"CBSE LAST 5 YEARS SOLVED PAPERS IN PHYSICS, CLASS 12",EVERGREEN PUBLICATIONS,
FLB_249,"JEE PHYSICS, CLASS XI PART B",XYLEM,
FLB_250,"NEW SIMPLIFIED PHYSICS REFERENCE BOOK FOR CLASS XI, VOLUME II","S.L. ARORA, DHANPAT RAI & CO.",
FLB_251,PLUS TWO PHYSICS CHAPTERWISE ANALYSIS PREVIOUS HSE QUESTION PAPERS,NEW JYOTHI PUBLICATIONS,
FLB_252,JEE PHYSICS CLASS XII PART A,XYLEM,
FLB_253, PLUS TWO PHYSICS HANDWRITTEN NOTES,XYLEM,
FLB_254,PHYSICS CHAPTER SUMMARY +1,MAXIMUM PUBLISHERS,
FLB_255,PHYSICS EXAMPOINT +2,MAXIMUM PUBLISHERS,
FLB_256,PHYSICS TEXTBOOK FOR CLASS XII PART-2,NCERT,
FLB_257,"SCIENCE PHYSICS, CLASS IX",ER. SUNIL BATRA,
FLB_258,"SCIENCE PHYSICS, CLASS X",ER. SUNIL BATRA,
FLB_259, PLUS ONE PHYSICS HANDWRITTEN NOTES,XYLEM,
FLB_260,NEET PHYSICS CLASS XI PART A,XYLEM,
FLB_261,PHYSICS EXAMPOINT +2,MAXIMUM PUBLISHERS,
FLB_262,NCERT TEXTBOOK + EXEMPLAR CLASS XI,MTG PUBLICATIONS,
FLB_263,CBSE QUESTION BANK CLASS 11 PHYSICS,OSWAAL BOOKS,
FLB_264,CBSE QUESTION BANK CLASS 12 PHYSICS,OSWAAL BOOKS,
FLB_265,NCERT TEXTBOOK + EXEMPLAR CLASS XII,MTG PUBLICATIONS,
FLB_266,EXAMPOINT PHYSICS +1,MAXIMUM PUBLISHERS,
FLB_267,GOLDEN SCIENCE CLASS VIII,GOLDEN,
FLB_268,JEE PHYSICS CLASS XI,XYLEM,
FLB_269,NEET PHYSICS CLASS XI SOLUTIONS,XYLEM,
FLB_270,NEET PHYSICS CLASS XI PART B,XYLEM,
FLB_271,NEET PHYSICS CLASS XII SOLUTIONS,XYLEM,
FLB_272,NEET PHYSICS CLASS XII PART B,XYLEM,
FLB_273,NEET PHYSICS CLASS XII PART A,XYLEM,
FLB_274,JEE PHYSICS CLASS XII SOLUTIONS,XYLEM,
FLB_275,JEE PHYSICS CLASS XII PART B SOLUTIONS,XYLEM,
FLB_276,PHYSICS PHYSICAL OPTICS & MODERN OPTICS,MANJUSHA PUBLICATIONS,
FLB_277,"SOLID STATE PHYSICS, SPECTROSCOPY & LASER PHYSICS",MANJUSHA PUBLICATIONS,
FLB_278,CMOS DIGITAL INTEGRATED CIRCUITS,JENNIFER AND JEFFREY,
FLB_279,ENGINEERING ELECTROMAGNETICS (9TH EDITION),M JALEEL AKTHAR,
FLB_280,FUNDAMENTALS OF DATA STRUCTURES IN C,ELLIS HOROWITZ,
FLB_281,ENGINEERING PHYSICS – 2E,"H.K. MALIK, A.K. SINGH",
FLB_282,COMPUTER SCIENCE INFORMATION TECHNOLOGY,MADE EASY PUBLICATIONS,
FLB_283,GATE CIVIL ENGINEERING 2026,IES MASTER PUBLICATIONS,
FLB_284,ENGINEERING ELECTROMAGNETICS,"W H HAYT,JR.",
FLB_285,THE IVORY THRONE,MANU S. PILLAI,
FLB_286,STEVE JOBS,WALTER ISAACSON,
FLB_287,THE SCHOOL OF LIFE,"DR. K. VASUKI, IAS",
FLB_288,READY TO FIRE,NAMITA NARAYAN,
FLB_289,GENERAL APTITUDE,GATE ACADEMY,
FLB_290,GATE ENGINEERING MATHEMATICS,GATE ACADEMY,
FLB_291,ENGINEERING CHEMISTRY FOR INFORMATION SCIENCE & ELECTRICAL SCIENCE,,
FLB_292,ENGINEERING CHEMISTRY FOR PHYSICAL SCIENCE & LIFE SCIENCE,,
FLB_293,JEE MAIN -  CHAPTERWISE TOPICWISE SOLVED QPAPER CHEMISTRY,ARIHANT POOJA YADAV,
